Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Tag,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Tag,Sent Comment,Fee Amount,Fee Currency,Realized Return (USD),Ignored
06/14/2022 08:08:54,Send,0xb26a7d0cfd0621d62321dd253980aec00e1e64f9b38a18f3e47838e58214c396,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00709844,ETH,...,
06/14/2022 08:11:07,Trade,0x3dbb02d161c1a49a70f33e83988d5ee136152c016d5576536a390db432a13f26,1002.52480000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/14/2022 08:11:07,Trade,0x3dbb02d161c1a49a70f33e83988d5ee136152c016d5576536a390db432a13f26,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01204272,ETH,...,
06/15/2022 09:21:46,Send,0x55f3119eac2bac8363f2ced1e69d445870a493b62620864c1afacc588be24342,,,...,,,,,397861.00000000,USDT,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01326022,ETH,...,
06/21/2022 04:54:11,Send,8116f490e4f7645ee9d39ed8c9639e2d7b8aa5ec2ef05f1cc38285159ca43681,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00536124,ETH,...,
06/21/2022 05:00:44,Receive,0x40771589781d995a7c31eac0d1b5f429b0bd5feb4dd1715ec4bcef1503167f02,1875.42896053,BAL,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.01899875,ETH,...,
06/21/2022 05:08:23,Trade,0xd41f9550d89d905712a5d9fd2335e8ebde58025c9f47a4cb4ae2b223a988bfbf,,,...,,,,,1.99313964,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00381416,ETH,...,
06/21/2022 05:19:38,Send,d2024a2a30ca6997504c9ec42758ad6e0f577657dd8a2ba1cfcabd3f7111a8f3,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00072750,ETH,...,
06/21/2022 05:21:13,Send,0xa970e9380ccc0b9911b1323b65afa198b74ab7e2e45bc8f4878ca10eac2d2c4a,,,...,,,,,981.62962365,B-80BAL-20WETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00842387,ETH,...,
06/22/2022 17:58:26,Receive,0xf23d34c569fa9c7cb381cc3c9ae5e851695884ab3da29d4c7c1a6f929f76ab26,24.33576192,bnWBTC,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.04163467,ETH,...,
06/22/2022 18:02:46,Send,75379cdb997637f6c3e641c2d9a46ef03dcd97675f0879d3fb7085093ce00fcc,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00295875,ETH,...,
06/22/2022 18:03:45,Send,0x025767ef78c813c2815206e068e4c8ef93af9e29c172358dd139f2730e6654e5,,,...,,,,,24.33576192,bnWBTC,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01782410,ETH,...,
06/23/2022 06:08:16,Receive,0x2336301b4a6b5e59a5617fc905d99e14dcff3d4d03426906d58ab9c532e34d5a,109.99346833,bnETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00204218,ETH,...,
06/23/2022 06:08:16,Receive,0x1b327d573c4b4a27d5d48f79a1548edf8e5a43bd9206e4286bf61b5b4e96b992,1323.73461146,BNT,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00209442,ETH,...,
06/23/2022 06:11:23,Send,3c99f45388b8eaa320ba1c683fd41553da429ea2a53379dcbee4957f0eb85d0a,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00093182,ETH,...,
06/23/2022 06:11:43,Send,0x8bacd54fa949ee984052eabebd90fdb89f1b1e9f7c3e561a97c2f0c68569456d,,,...,,,,,109.99346833,bnETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00446089,ETH,...,
06/23/2022 06:12:55,Receive,0x593d9e9a6ef8da028929112030a21a8df1a1a7ad3739aab018da0b57784fce37,423.25766253,BNT,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00141864,ETH,...,
06/23/2022 06:16:33,Send,dd5f1be76744725e9e76079f6a2a45872b963e5888ec5abf992da6c96faf27e1,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00093540,ETH,...,
06/23/2022 06:17:24,Trade,0x1c1d6a373b74868cf36e5c29ae905cb5d62f72241feb870385315d8c76d87ddb,0.80246943,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/23/2022 06:17:24,Trade,0x1c1d6a373b74868cf36e5c29ae905cb5d62f72241feb870385315d8c76d87ddb,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00547200,ETH,...,
06/23/2022 16:13:21,Send,685e181f61b600fd219f6b2c22124a8199291ceacadad549dc6c15feb531ef5c,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01760502,ETH,...,
06/25/2022 08:21:12,Receive,0xbeb5bf315200a9ac9c6afa35e18d9601bf629fba275dcac4c5c42057b455c7a6,7231.47758572,LDO,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00332972,ETH,...,
06/25/2022 08:21:12,Receive,0xd6156329e57a2f1539afea4fdb14bd6a0fd10f8c7fba577a6296ecf74f41cbc6,7301.02779938,LDO,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.00310550,ETH,...,
06/25/2022 08:29:59,Trade,0x9c504fc88140f9b7e4c89072b9f144cd3420dd3cab9563da95adb4e0657cb52d,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00628323,ETH,...,
06/25/2022 08:30:39,Trade,0x82267fd867425a3a4da390da8ba160d71a4b300fc809e1366f3311d20b3e0c39,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00531641,ETH,...,
06/27/2022 00:15:40,Send,c4ff952d584dee12364fe276eed17f01c42f535b903e0364d8a06ca437263abc,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00271119,ETH,...,
06/30/2022 09:07:37,Receive,0x3ffe2e35598f268bea164d3ead732e3562522f12567d3448688084f4986add0d,1431.53649260,BAL,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.03589011,ETH,...,
06/30/2022 09:14:34,Trade,0x547aa70172bc22a4de1197a59ad35c3946d481d07377a7721926500597088c92,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00764427,ETH,...,
06/30/2022 09:15:53,Send,0x5acce2d9bd754166d529fece10831f96d9d82226db191839c6b12d03e1133828,,,...,,,,,571.42077098,B-80BAL-20WETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00892731,ETH,...,
06/30/2022 09:19:06,Send,3ce8b0cd4295f6cc544b1014fbf8ea331b93741f29297c9937756cf98dc12c56,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00987388,ETH,...,
06/30/2022 09:57:42,Send,b20b70e9bdecb30a5cda30300161879b84b97b7289c8dabfe26cba467fabf922,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00761844,ETH,...,
07/05/2022 23:33:30,Send,80f0db70c9ee786b3450372047be738e9ad405fdcce016ec379abfef48aa2e94,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00672357,ETH,...,
07/05/2022 23:34:30,Send,b689ca4c7aebbd4dcb50a62c01e4055a5882a252e6b5328b11d5c2d9925138b2,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00607371,ETH,...,
